,City ,State ,Cert ,Acquiring Institution ,Fund,"Bank Name, City, State",Closing Date,Approx. Asset (Millions),Approx. Deposit (Millions),Bank Name,Country
0,Philadelphia,PA,27332,"Fulton Bank, National Association",10546,"Republic First Bank dba Republic Bank, Philadelphia, PA",26-Apr-24,"$6,000.00 ","$4,000.00 ",Republic First Bank dba Republic Bank,US
1,Sac City,IA,8758,Iowa Trust & Savings Bank,10545,"Citizens Bank, Sac City, IA",3-Nov-23,$66.00 ,$59.00 ,Citizens Bank,US
2,Elkhart,KS,25851,"Dream First Bank, N.A.",10544,"Heartland Tri-State Bank, Elkhart, KS",28-Jul-23,$139.00 ,$130.00 ,Heartland Tri-State Bank,US
3,San Francisco,CA,59017,"JPMorgan Chase Bank, N.A.",10543,"First Republic Bank, San Francisco, CA",1-May-23,"$229,100.00 ","$103,900.00 ",First Republic Bank,US
4,New York,NY,57053,"Flagstar Bank, N.A.",10540,"Signature Bank, New York, NY",12-Mar-23,"$110,400.00 ","$88,600.00 ",Signature Bank,US
5,Santa Clara,CA,24735,First–Citizens Bank & Trust Company,10539,"Silicon Valley Bank, Santa Clara, CA",10-Mar-23,"$209,000.00 ","$175,400.00 ",Silicon Valley Bank,US
6,Almena,KS,15426,Equity Bank,10538,"Almena State Bank, Almena, KS",23-Oct-20,$70.00 ,$68.70 ,Almena State Bank,US
7,Fort Walton Beach,FL,16748,"United Fidelity Bank, fsb",10537,"First City Bank of Florida, Fort Walton Beach, FL",16-Oct-20,$134.70 ,$131.40 ,First City Bank of Florida,US
8,Ericson,NE,18265,Farmers and Merchants Bank,10535,"Ericson State Bank, Ericson, NE",14-Feb-20,$100.90 ,$95.20 ,Ericson State Bank,US
9,Newark,NJ,21111,Industrial Bank,10534,"City National Bank of New Jersey, Newark, NJ",1-Nov-19,$120.60 ,$111.20 ,City National Bank of New Jersey,US
10,Maumee,OH,58317,Buckeye State Bank,10533,"Resolute Bank, Maumee, OH",25-Oct-19,$27.10 ,$26.20 ,Resolute Bank,US
11,Louisa,KY,58112,Kentucky Farmers Bank Corporation,10532,"Louisa Community Bank, Louisa, KY",25-Oct-19,$29.70 ,$26.50 ,Louisa Community Bank,US
12,Cooper,TX,10716,"Legend Bank, N. A.",10531,"The Enloe State Bank, Cooper, TX",31-May-19,$36.70 ,$31.30 ,The Enloe State Bank,US
13,Chicago,IL,30570,Royal Savings Bank,10530,"Washington Federal Bank for Savings, Chicago, IL",15-Dec-17,$166.30 ,$144.00 ,Washington Federal Bank for Savings,US
14,Argonia,KS,17719,Conway Bank,10529,"The Farmers and Merchants State Bank of Argonia, Argonia, KS",13-Oct-17,$34.20 ,$29.60 ,The Farmers and Merchants State Bank of Argonia,US
15,Saint Elmo,IL,1802,"United Fidelity Bank, fsb",10528,"Fayette County Bank, Saint Elmo, IL",26-May-17,$34.40 ,$34.00 ,Fayette County Bank,US
16,New Orleans,LA,58302,Whitney Bank,10526,"First NBC Bank, New Orleans, LA",28-Apr-17,"$4,740.00 ","$3,540.00 ",First NBC Bank,US
